net_name,hpwl,type_die
N1,1191,BOTTOM
N2,2552,BOTTOM
N3,882,BOTTOM
N4,714,BOTTOM
N5,367,BOTTOM
N6,457,BOTTOM
N7,385,BOTTOM
N8,618,BOTTOM
N9,528,BOTTOM
N10,503,BOTTOM
N11,600,BOTTOM
N12,587,BOTTOM
N13,157,BOTTOM
N14,390,BOTTOM
N15,265,BOTTOM
N16,308,BOTTOM
N17,34,BOTTOM
N18,1788,BOTTOM
N19,263,BOTTOM
N20,550,BOTTOM
N21,391,BOTTOM
N22,601,BOTTOM
N23,1008,BOTTOM
N24,2188,BOTTOM
N25,1730,BOTTOM
N26,586,BOTTOM
N27,1883,BOTTOM
N28,1212,BOTTOM
N29,2095,BOTTOM
N30,1718,BOTTOM
N31,1136,BOTTOM
N32,557,BOTTOM
N33,769,BOTTOM
N34,577,BOTTOM
N35,909,BOTTOM
N36,1601,BOTTOM
N37,1078,BOTTOM
N38,941,BOTTOM
N39,1142,BOTTOM
N40,2011,BOTTOM
N41,917,BOTTOM
N42,543,BOTTOM
N43,1224,BOTTOM
N44,1518,BOTTOM
N45,583,BOTTOM
N46,827,BOTTOM
N47,2117,BOTTOM
N48,37,BOTTOM
N49,73,BOTTOM
N50,37,BOTTOM
N51,411,BOTTOM
N52,449,BOTTOM
N53,37,BOTTOM
N54,37,BOTTOM
N55,73,BOTTOM
N56,267,BOTTOM
N57,127,BOTTOM
N58,73,BOTTOM
N59,73,BOTTOM
N60,73,BOTTOM
N61,73,BOTTOM
N62,400,BOTTOM
N63,37,BOTTOM
N64,73,BOTTOM
N65,73,BOTTOM
N66,73,BOTTOM
N67,73,BOTTOM
N68,73,BOTTOM
N69,166,BOTTOM
N70,73,BOTTOM
N71,73,BOTTOM
N72,37,BOTTOM
N73,37,BOTTOM
N74,73,BOTTOM
N75,4433,BOTTOM
N76,6137,BOTTOM
N77,10515,BOTTOM
N78,10993,BOTTOM
N79,11685,BOTTOM
N80,10462,BOTTOM
N81,433,BOTTOM
N82,528,BOTTOM
N83,544,BOTTOM
N84,18126,BOTTOM
N85,5264,BOTTOM
N86,3105,BOTTOM
N87,4416,BOTTOM
N88,2037,BOTTOM
N89,2101,BOTTOM
N90,4919,BOTTOM
N91,283,BOTTOM
N92,73,BOTTOM
N93,37,BOTTOM
N94,37,BOTTOM
N95,271,BOTTOM
N96,37,BOTTOM
N97,73,BOTTOM
N98,37,BOTTOM
N99,37,BOTTOM
N100,73,BOTTOM
N101,37,BOTTOM
N102,37,BOTTOM
N103,73,BOTTOM
N104,399,BOTTOM
N105,37,BOTTOM
N106,73,BOTTOM
N107,73,BOTTOM
N108,73,BOTTOM
N109,37,BOTTOM
N110,73,BOTTOM
N111,37,BOTTOM
N112,73,BOTTOM
N113,73,BOTTOM
N114,37,BOTTOM
N115,73,BOTTOM
N116,73,BOTTOM
N117,73,BOTTOM
N118,37,BOTTOM
N119,73,BOTTOM
N120,426,BOTTOM
N121,73,BOTTOM
N122,37,BOTTOM
N123,1168,BOTTOM
N124,1098,BOTTOM
N125,1007,BOTTOM
N126,1976,BOTTOM
N127,1707,BOTTOM
N128,977,BOTTOM
N129,1035,BOTTOM
N130,1693,BOTTOM
N131,1185,BOTTOM
N132,810,BOTTOM
N133,1044,BOTTOM
N134,1538,BOTTOM
N135,1659,BOTTOM
N136,1157,BOTTOM
N137,882,BOTTOM
N138,1407,BOTTOM
N139,1176,BOTTOM
N140,1006,BOTTOM
N141,1080,BOTTOM
N142,1959,BOTTOM
N143,1563,BOTTOM
N144,1069,BOTTOM
N145,1116,BOTTOM
N146,1325,BOTTOM
N147,1104,BOTTOM
N148,951,BOTTOM
N149,1177,BOTTOM
